customer_id,gender,age_group,region,product_category,purchase_channel,platform,customer_rating,review_text,sentiment,response_time_hours,issue_resolved,complaint_registered,sentiment_label
75,other,18-25,west,fashion,online,swiggy instamart,4,great value for money.,positive,67,no,no,1
76,female,36-45,central,automobile,online,swiggy instamart,4,"amazing experience, highly recommend!",positive,68,no,no,1
77,male,26-35,east,home & kitchen,online,snapdeal,5,very satisfied with the quality.,positive,24,yes,no,1
78,male,60+,south,beauty,online,myntra,2,customer service was unhelpful.,negative,58,no,yes,0
79,female,26-35,central,sports,online,lenskart,1,very disappointed with the quality.,negative,9,yes,yes,0
80,other,46-60,north,groceries,online,shopclues,2,very disappointed with the quality.,negative,22,yes,yes,0
81,other,18-25,south,groceries,online,snapdeal,4,very satisfied with the quality.,positive,31,yes,no,1
83,male,18-25,west,travel,online,reliance digital,2,customer service was unhelpful.,negative,4,yes,yes,0
84,other,36-45,south,travel,online,zepto,1,very disappointed with the quality.,negative,18,yes,yes,0
85,female,18-25,south,home & kitchen,online,flipkart,1,late delivery and poor packaging.,negative,24,yes,yes,0
86,other,18-25,west,home & kitchen,online,reliance digital,5,very satisfied with the quality.,positive,29,yes,no,1
87,male,36-45,south,groceries,online,reliance digital,5,very satisfied with the quality.,positive,41,yes,no,1
88,male,36-45,south,fashion,online,jiomart,5,great value for money.,positive,7,yes,no,1
90,other,36-45,north,beauty,online,facebook marketplace,1,not worth the price.,negative,19,yes,yes,0
91,female,36-45,central,beauty,online,croma,4,"amazing experience, highly recommend!",positive,58,no,no,1
93,other,36-45,west,books,online,swiggy instamart,4,excellent product! exceeded expectations.,positive,43,yes,no,1
95,other,26-35,east,automobile,online,boat,2,customer service was unhelpful.,negative,27,yes,yes,0
96,male,18-25,south,sports,online,boat,4,fast delivery and great packaging.,positive,3,yes,no,1
97,male,36-45,north,books,online,amazon,5,fast delivery and great packaging.,positive,43,yes,no,1
98,other,18-25,central,sports,online,flipkart,2,very disappointed with the quality.,negative,1,yes,yes,0
99,female,46-60,east,automobile,online,reliance digital,2,product stopped working after few days.,negative,61,no,yes,0
100,male,26-35,west,sports,online,paytm mall,1,product stopped working after few days.,negative,28,yes,yes,0
101,other,26-35,west,automobile,online,bigbasket,4,"amazing experience, highly recommend!",positive,39,yes,no,1
102,male,36-45,south,groceries,online,meesho,1,customer service was unhelpful.,negative,3,yes,yes,0
103,other,18-25,south,travel,online,facebook marketplace,4,fast delivery and great packaging.,positive,24,yes,no,1
104,male,26-35,central,home & kitchen,online,reliance digital,4,very satisfied with the quality.,positive,22,yes,no,1
105,other,60+,central,automobile,online,flipkart,2,product stopped working after few days.,negative,40,yes,yes,0
107,other,36-45,east,books,online,croma,2,late delivery and poor packaging.,negative,19,yes,yes,0
108,female,36-45,north,books,online,reliance digital,4,excellent product! exceeded expectations.,positive,35,yes,no,1
109,female,36-45,south,fashion,online,bigbasket,1,late delivery and poor packaging.,negative,41,yes,yes,0
112,other,36-45,central,groceries,online,myntra,4,"amazing experience, highly recommend!",positive,49,no,no,1
113,female,60+,north,home & kitchen,online,lenskart,5,"amazing experience, highly recommend!",positive,10,yes,no,1
114,female,18-25,south,sports,online,facebook marketplace,4,very satisfied with the quality.,positive,31,yes,no,1
115,female,26-35,south,books,online,tata cliq,2,late delivery and poor packaging.,negative,70,no,yes,0
116,female,26-35,central,groceries,online,amazon,2,not worth the price.,negative,43,yes,yes,0
118,male,46-60,north,books,online,jiomart,4,great value for money.,positive,44,yes,no,1
119,male,36-45,east,automobile,online,meesho,2,product stopped working after few days.,negative,58,no,yes,0
120,male,26-35,north,automobile,online,amazon,2,late delivery and poor packaging.,negative,24,yes,yes,0
121,female,36-45,west,sports,online,croma,4,fast delivery and great packaging.,positive,14,yes,no,1
122,other,26-35,central,electronics,online,swiggy instamart,1,not worth the price.,negative,21,yes,yes,0
123,female,36-45,north,fashion,online,myntra,5,great value for money.,positive,54,no,no,1
124,female,26-35,central,electronics,online,boat,5,very satisfied with the quality.,positive,48,no,no,1
125,other,60+,west,home & kitchen,online,bigbasket,1,very disappointed with the quality.,negative,47,yes,yes,0
126,female,46-60,north,electronics,online,zepto,4,fast delivery and great packaging.,positive,17,yes,no,1
128,other,60+,north,electronics,online,facebook marketplace,4,very satisfied with the quality.,positive,5,yes,no,1
129,female,46-60,central,travel,online,myntra,4,great value for money.,positive,36,yes,no,1
130,female,26-35,west,beauty,online,jiomart,2,very disappointed with the quality.,negative,4,yes,yes,0
131,female,36-45,south,electronics,online,lenskart,5,very satisfied with the quality.,positive,67,no,no,1
132,female,18-25,east,fashion,online,swiggy instamart,4,excellent product! exceeded expectations.,positive,24,yes,no,1
133,male,18-25,south,fashion,online,nykaa,4,fast delivery and great packaging.,positive,39,yes,no,1
134,female,36-45,east,automobile,online,croma,2,customer service was unhelpful.,negative,70,no,yes,0
135,other,46-60,west,automobile,online,shopclues,2,product stopped working after few days.,negative,36,yes,yes,0
136,male,26-35,north,beauty,online,others,2,product stopped working after few days.,negative,36,yes,yes,0
137,female,26-35,west,automobile,online,shopclues,2,late delivery and poor packaging.,negative,6,yes,yes,0
138,male,60+,central,electronics,online,myntra,2,very disappointed with the quality.,negative,23,yes,yes,0
139,female,60+,central,home & kitchen,online,lenskart,4,great value for money.,positive,6,yes,no,1
140,female,36-45,north,electronics,online,meesho,4,great value for money.,positive,48,no,no,1
141,other,18-25,east,groceries,online,reliance digital,2,customer service was unhelpful.,negative,34,yes,yes,0
142,male,46-60,south,electronics,online,others,2,product stopped working after few days.,negative,11,yes,yes,0
143,male,46-60,west,books,online,lenskart,4,"amazing experience, highly recommend!",positive,71,no,no,1
144,female,60+,south,beauty,online,ajio,1,late delivery and poor packaging.,negative,62,no,yes,0
146,other,46-60,north,sports,online,amazon,2,late delivery and poor packaging.,negative,71,no,yes,0
149,other,46-60,east,electronics,online,zepto,1,very disappointed with the quality.,negative,63,no,yes,0
150,male,46-60,south,electronics,online,others,2,late delivery and poor packaging.,negative,9,yes,yes,0
152,male,36-45,west,travel,online,jiomart,4,great value for money.,positive,66,no,no,1
153,other,46-60,north,fashion,online,amazon,5,fast delivery and great packaging.,positive,52,no,no,1
154,male,36-45,south,groceries,online,flipkart,1,customer service was unhelpful.,negative,8,yes,yes,0
155,female,18-25,west,home & kitchen,online,swiggy instamart,4,"amazing experience, highly recommend!",positive,39,yes,no,1
156,female,60+,north,groceries,online,boat,4,"amazing experience, highly recommend!",positive,10,yes,no,1
157,male,26-35,south,sports,online,facebook marketplace,1,product stopped working after few days.,negative,21,yes,yes,0
158,female,26-35,central,groceries,online,tata cliq,2,very disappointed with the quality.,negative,51,no,yes,0
159,female,18-25,east,books,online,zepto,1,product stopped working after few days.,negative,28,yes,yes,0
160,other,36-45,east,electronics,online,bigbasket,1,late delivery and poor packaging.,negative,52,no,yes,0
161,other,60+,west,sports,online,croma,2,not worth the price.,negative,34,yes,yes,0
162,female,18-25,south,automobile,online,facebook marketplace,2,customer service was unhelpful.,negative,17,yes,yes,0
163,female,26-35,central,beauty,online,bigbasket,4,great value for money.,positive,29,yes,no,1
164,female,18-25,north,sports,online,flipkart,1,product stopped working after few days.,negative,49,no,yes,0
165,female,18-25,east,sports,online,meesho,1,very disappointed with the quality.,negative,58,no,yes,0
166,other,46-60,east,fashion,online,shopclues,5,fast delivery and great packaging.,positive,66,no,no,1
168,male,46-60,west,home & kitchen,online,amazon,2,very disappointed with the quality.,negative,60,no,yes,0
169,female,36-45,north,fashion,online,others,5,"amazing experience, highly recommend!",positive,27,yes,no,1
170,male,46-60,west,beauty,online,tata cliq,5,fast delivery and great packaging.,positive,19,yes,no,1
171,male,18-25,west,sports,online,bigbasket,1,customer service was unhelpful.,negative,34,yes,yes,0
172,male,26-35,west,groceries,online,shopclues,2,very disappointed with the quality.,negative,25,yes,yes,0
174,other,18-25,north,travel,online,paytm mall,1,customer service was unhelpful.,negative,70,no,yes,0
175,other,36-45,east,books,online,shopclues,4,fast delivery and great packaging.,positive,69,no,no,1
176,female,36-45,central,beauty,online,tata cliq,1,late delivery and poor packaging.,negative,33,yes,yes,0
177,other,36-45,west,groceries,online,facebook marketplace,5,"amazing experience, highly recommend!",positive,33,yes,no,1
178,male,36-45,south,books,online,bigbasket,2,not worth the price.,negative,61,no,yes,0
180,female,46-60,south,fashion,online,reliance digital,5,very satisfied with the quality.,positive,3,yes,no,1
183,female,60+,east,automobile,online,bigbasket,5,great value for money.,positive,5,yes,no,1
184,other,60+,north,home & kitchen,online,reliance digital,4,"amazing experience, highly recommend!",positive,12,yes,no,1
187,male,60+,north,electronics,online,ajio,4,"amazing experience, highly recommend!",positive,43,yes,no,1
188,female,26-35,north,beauty,online,reliance digital,2,customer service was unhelpful.,negative,63,no,yes,0
189,male,60+,west,fashion,online,flipkart,1,very disappointed with the quality.,negative,7,yes,yes,0
190,male,46-60,west,sports,online,croma,4,excellent product! exceeded expectations.,positive,11,yes,no,1
191,other,46-60,east,groceries,online,others,4,"amazing experience, highly recommend!",positive,42,yes,no,1
193,female,46-60,west,fashion,online,nykaa,2,not worth the price.,negative,46,yes,yes,0
194,female,60+,west,beauty,online,nykaa,1,customer service was unhelpful.,negative,50,no,yes,0
195,other,60+,south,fashion,online,swiggy instamart,1,customer service was unhelpful.,negative,66,no,yes,0
197,female,36-45,central,books,online,jiomart,1,very disappointed with the quality.,negative,21,yes,yes,0
198,male,46-60,south,home & kitchen,online,reliance digital,4,very satisfied with the quality.,positive,38,yes,no,1
199,female,60+,west,travel,online,croma,1,product stopped working after few days.,negative,59,no,yes,0
200,other,26-35,central,automobile,online,shopclues,2,product stopped working after few days.,negative,42,yes,yes,0
201,female,26-35,east,electronics,online,flipkart,5,"amazing experience, highly recommend!",positive,69,no,no,1
202,other,46-60,east,beauty,online,paytm mall,2,not worth the price.,negative,22,yes,yes,0
204,other,60+,east,sports,online,nykaa,4,excellent product! exceeded expectations.,positive,57,no,no,1
205,female,18-25,north,beauty,online,snapdeal,1,late delivery and poor packaging.,negative,36,yes,yes,0
206,male,60+,north,groceries,online,croma,2,customer service was unhelpful.,negative,12,yes,yes,0
208,other,18-25,south,automobile,online,facebook marketplace,2,product stopped working after few days.,negative,12,yes,yes,0
209,male,18-25,south,books,online,croma,5,excellent product! exceeded expectations.,positive,38,yes,no,1
210,other,26-35,south,electronics,online,amazon,4,"amazing experience, highly recommend!",positive,44,yes,no,1
211,male,60+,east,fashion,online,swiggy instamart,1,customer service was unhelpful.,negative,15,yes,yes,0
212,other,46-60,west,beauty,online,swiggy instamart,5,excellent product! exceeded expectations.,positive,23,yes,no,1
213,other,36-45,east,groceries,online,paytm mall,2,not worth the price.,negative,45,yes,yes,0
214,female,46-60,central,travel,online,ajio,1,very disappointed with the quality.,negative,1,yes,yes,0
215,other,36-45,east,sports,online,bigbasket,4,"amazing experience, highly recommend!",positive,55,no,no,1
216,male,60+,central,home & kitchen,online,reliance digital,2,not worth the price.,negative,46,yes,yes,0
217,male,18-25,central,books,online,ajio,1,very disappointed with the quality.,negative,54,no,yes,0
218,male,26-35,east,books,online,nykaa,1,not worth the price.,negative,58,no,yes,0
219,female,26-35,west,electronics,online,flipkart,4,fast delivery and great packaging.,positive,57,no,no,1
222,female,46-60,west,home & kitchen,online,amazon,2,not worth the price.,negative,34,yes,yes,0
223,other,60+,south,fashion,online,swiggy instamart,2,late delivery and poor packaging.,negative,51,no,yes,0
224,male,18-25,south,electronics,online,zepto,5,"amazing experience, highly recommend!",positive,50,no,no,1
226,male,18-25,east,automobile,online,boat,5,excellent product! exceeded expectations.,positive,32,yes,no,1
228,female,46-60,west,travel,online,lenskart,1,late delivery and poor packaging.,negative,46,yes,yes,0
230,male,18-25,south,home & kitchen,online,flipkart,5,great value for money.,positive,30,yes,no,1
231,female,60+,central,books,online,tata cliq,1,very disappointed with the quality.,negative,59,no,yes,0
232,other,46-60,south,travel,online,amazon,2,late delivery and poor packaging.,negative,52,no,yes,0
234,other,36-45,south,fashion,online,shopclues,2,late delivery and poor packaging.,negative,68,no,yes,0
235,female,60+,central,books,online,nykaa,4,"amazing experience, highly recommend!",positive,15,yes,no,1
236,other,36-45,east,groceries,online,swiggy instamart,5,great value for money.,positive,53,no,no,1
237,female,26-35,north,beauty,online,paytm mall,4,excellent product! exceeded expectations.,positive,61,no,no,1
238,female,26-35,south,books,online,ajio,2,late delivery and poor packaging.,negative,43,yes,yes,0
239,male,36-45,central,fashion,online,reliance digital,5,excellent product! exceeded expectations.,positive,7,yes,no,1
240,female,60+,south,home & kitchen,online,croma,1,not worth the price.,negative,11,yes,yes,0
241,male,46-60,south,fashion,online,paytm mall,4,very satisfied with the quality.,positive,14,yes,no,1
242,female,46-60,north,automobile,online,snapdeal,1,product stopped working after few days.,negative,7,yes,yes,0
243,male,46-60,west,fashion,online,bigbasket,1,customer service was unhelpful.,negative,2,yes,yes,0
244,female,46-60,central,fashion,online,facebook marketplace,2,product stopped working after few days.,negative,2,yes,yes,0
245,female,36-45,central,home & kitchen,online,amazon,1,not worth the price.,negative,34,yes,yes,0
246,male,46-60,central,groceries,online,boat,5,fast delivery and great packaging.,positive,36,yes,no,1
247,other,26-35,central,automobile,online,flipkart,4,"amazing experience, highly recommend!",positive,26,yes,no,1
248,female,36-45,central,travel,online,nykaa,1,customer service was unhelpful.,negative,20,yes,yes,0
249,other,26-35,east,sports,online,boat,4,great value for money.,positive,11,yes,no,1
250,male,60+,central,home & kitchen,online,snapdeal,1,customer service was unhelpful.,negative,13,yes,yes,0
251,male,46-60,west,sports,online,paytm mall,4,very satisfied with the quality.,positive,33,yes,no,1
252,female,36-45,north,automobile,online,others,5,"amazing experience, highly recommend!",positive,19,yes,no,1
253,male,36-45,north,electronics,online,amazon,1,not worth the price.,negative,38,yes,yes,0
255,female,46-60,south,beauty,online,bigbasket,4,"amazing experience, highly recommend!",positive,70,no,no,1
256,male,26-35,east,books,online,ajio,5,very satisfied with the quality.,positive,16,yes,no,1
257,other,60+,west,electronics,online,swiggy instamart,4,excellent product! exceeded expectations.,positive,33,yes,no,1
258,male,26-35,east,travel,online,paytm mall,2,late delivery and poor packaging.,negative,38,yes,yes,0
259,male,18-25,south,travel,online,nykaa,1,late delivery and poor packaging.,negative,21,yes,yes,0
262,male,26-35,south,fashion,online,amazon,5,very satisfied with the quality.,positive,10,yes,no,1
264,other,46-60,central,sports,online,boat,5,"amazing experience, highly recommend!",positive,18,yes,no,1
266,female,60+,south,groceries,online,flipkart,1,very disappointed with the quality.,negative,42,yes,yes,0
267,female,60+,east,groceries,online,swiggy instamart,1,customer service was unhelpful.,negative,67,no,yes,0
268,female,36-45,east,automobile,online,nykaa,4,very satisfied with the quality.,positive,52,no,no,1
269,female,26-35,west,sports,online,flipkart,1,not worth the price.,negative,54,no,yes,0
271,male,36-45,north,electronics,online,reliance digital,4,excellent product! exceeded expectations.,positive,41,yes,no,1
272,male,46-60,east,home & kitchen,online,swiggy instamart,1,product stopped working after few days.,negative,47,yes,yes,0
273,male,46-60,south,books,online,croma,1,not worth the price.,negative,56,no,yes,0
274,other,18-25,west,books,online,facebook marketplace,1,customer service was unhelpful.,negative,2,yes,yes,0
275,female,46-60,east,automobile,online,nykaa,2,customer service was unhelpful.,negative,21,yes,yes,0
278,other,36-45,west,sports,online,snapdeal,1,not worth the price.,negative,39,yes,yes,0
280,male,36-45,central,groceries,online,others,5,great value for money.,positive,9,yes,no,1
281,male,46-60,west,travel,online,croma,2,very disappointed with the quality.,negative,60,no,yes,0
282,female,36-45,south,groceries,online,reliance digital,2,not worth the price.,negative,10,yes,yes,0
283,other,36-45,south,home & kitchen,online,shopclues,1,late delivery and poor packaging.,negative,58,no,yes,0
285,female,36-45,west,books,online,flipkart,1,late delivery and poor packaging.,negative,59,no,yes,0
286,other,26-35,central,beauty,online,boat,4,excellent product! exceeded expectations.,positive,54,no,no,1
289,female,36-45,east,fashion,online,nykaa,1,product stopped working after few days.,negative,25,yes,yes,0
290,female,36-45,west,books,online,croma,2,customer service was unhelpful.,negative,36,yes,yes,0
292,male,60+,east,books,online,paytm mall,4,excellent product! exceeded expectations.,positive,70,no,no,1
293,other,46-60,south,beauty,online,zepto,5,"amazing experience, highly recommend!",positive,27,yes,no,1
294,male,18-25,south,automobile,online,ajio,1,product stopped working after few days.,negative,42,yes,yes,0
295,female,46-60,east,automobile,online,tata cliq,5,great value for money.,positive,68,no,no,1
298,female,18-25,central,fashion,online,meesho,5,great value for money.,positive,47,yes,no,1
299,male,60+,central,automobile,online,zepto,2,very disappointed with the quality.,negative,65,no,yes,0
300,male,36-45,south,sports,online,tata cliq,4,"amazing experience, highly recommend!",positive,30,yes,no,1
302,other,18-25,south,electronics,online,lenskart,2,late delivery and poor packaging.,negative,59,no,yes,0
303,male,46-60,east,electronics,online,bigbasket,2,product stopped working after few days.,negative,33,yes,yes,0
304,other,46-60,north,beauty,online,bigbasket,5,great value for money.,positive,6,yes,no,1
305,female,26-35,west,sports,online,shopclues,4,great value for money.,positive,7,yes,no,1
306,male,18-25,east,books,online,snapdeal,5,great value for money.,positive,44,yes,no,1
307,male,26-35,south,automobile,online,others,4,great value for money.,positive,3,yes,no,1
308,female,46-60,south,automobile,online,zepto,2,very disappointed with the quality.,negative,30,yes,yes,0
309,male,18-25,central,groceries,online,croma,5,great value for money.,positive,2,yes,no,1
310,male,26-35,west,sports,online,others,5,fast delivery and great packaging.,positive,63,no,no,1
311,female,18-25,north,fashion,online,paytm mall,4,fast delivery and great packaging.,positive,59,no,no,1
314,male,18-25,south,fashion,online,myntra,5,fast delivery and great packaging.,positive,20,yes,no,1
315,male,18-25,west,fashion,online,swiggy instamart,2,late delivery and poor packaging.,negative,67,no,yes,0
317,other,36-45,south,fashion,online,nykaa,5,great value for money.,positive,64,no,no,1
318,other,60+,north,fashion,online,swiggy instamart,1,late delivery and poor packaging.,negative,29,yes,yes,0
320,other,26-35,central,fashion,online,meesho,1,late delivery and poor packaging.,negative,56,no,yes,0
321,male,26-35,east,beauty,online,others,5,"amazing experience, highly recommend!",positive,34,yes,no,1
324,other,26-35,west,travel,online,flipkart,1,late delivery and poor packaging.,negative,26,yes,yes,0
325,other,46-60,south,home & kitchen,online,amazon,1,product stopped working after few days.,negative,14,yes,yes,0
326,male,36-45,central,beauty,online,nykaa,4,great value for money.,positive,41,yes,no,1
327,male,18-25,west,books,online,boat,5,great value for money.,positive,34,yes,no,1
328,male,46-60,north,beauty,online,amazon,2,product stopped working after few days.,negative,9,yes,yes,0
329,male,18-25,north,travel,online,flipkart,4,excellent product! exceeded expectations.,positive,30,yes,no,1
330,female,18-25,central,groceries,online,shopclues,1,late delivery and poor packaging.,negative,36,yes,yes,0
331,female,46-60,south,home & kitchen,online,reliance digital,1,customer service was unhelpful.,negative,26,yes,yes,0
332,female,36-45,east,electronics,online,tata cliq,4,excellent product! exceeded expectations.,positive,63,no,no,1
333,male,26-35,west,groceries,online,reliance digital,2,late delivery and poor packaging.,negative,45,yes,yes,0
334,other,18-25,west,electronics,online,others,4,great value for money.,positive,5,yes,no,1
335,female,36-45,north,sports,online,nykaa,4,great value for money.,positive,39,yes,no,1
336,other,46-60,west,electronics,online,others,1,customer service was unhelpful.,negative,32,yes,yes,0
337,other,26-35,central,electronics,online,ajio,4,"amazing experience, highly recommend!",positive,65,no,no,1
338,male,36-45,south,beauty,online,bigbasket,1,customer service was unhelpful.,negative,57,no,yes,0
340,other,60+,south,fashion,online,ajio,4,"amazing experience, highly recommend!",positive,9,yes,no,1
342,male,26-35,north,groceries,online,meesho,1,very disappointed with the quality.,negative,4,yes,yes,0
343,female,36-45,east,fashion,online,paytm mall,4,very satisfied with the quality.,positive,16,yes,no,1
344,female,60+,east,beauty,online,facebook marketplace,1,late delivery and poor packaging.,negative,35,yes,yes,0
345,other,26-35,west,travel,online,snapdeal,5,fast delivery and great packaging.,positive,66,no,no,1
346,male,18-25,east,beauty,online,paytm mall,5,great value for money.,positive,68,no,no,1
347,other,26-35,central,books,online,shopclues,5,very satisfied with the quality.,positive,6,yes,no,1
348,other,46-60,central,travel,online,meesho,2,product stopped working after few days.,negative,47,yes,yes,0
349,male,60+,south,home & kitchen,online,meesho,1,very disappointed with the quality.,negative,28,yes,yes,0
350,male,26-35,north,electronics,online,ajio,5,excellent product! exceeded expectations.,positive,62,no,no,1
351,female,18-25,east,automobile,online,nykaa,4,excellent product! exceeded expectations.,positive,63,no,no,1
353,male,36-45,west,groceries,online,nykaa,2,late delivery and poor packaging.,negative,52,no,yes,0
354,female,18-25,east,fashion,online,flipkart,5,fast delivery and great packaging.,positive,37,yes,no,1
355,other,18-25,east,fashion,online,meesho,2,late delivery and poor packaging.,negative,7,yes,yes,0
357,male,60+,west,fashion,online,reliance digital,4,very satisfied with the quality.,positive,34,yes,no,1
358,other,26-35,south,travel,online,croma,4,excellent product! exceeded expectations.,positive,8,yes,no,1
359,male,36-45,south,home & kitchen,online,shopclues,2,customer service was unhelpful.,negative,38,yes,yes,0
360,other,36-45,east,fashion,online,facebook marketplace,5,excellent product! exceeded expectations.,positive,51,no,no,1
362,other,60+,east,fashion,online,zepto,2,very disappointed with the quality.,negative,47,yes,yes,0
363,male,60+,south,home & kitchen,online,croma,1,very disappointed with the quality.,negative,52,no,yes,0
364,other,26-35,south,electronics,online,snapdeal,1,late delivery and poor packaging.,negative,17,yes,yes,0
365,male,60+,south,electronics,online,shopclues,1,late delivery and poor packaging.,negative,33,yes,yes,0
367,female,60+,central,travel,online,flipkart,5,excellent product! exceeded expectations.,positive,41,yes,no,1
368,male,18-25,south,fashion,online,jiomart,4,fast delivery and great packaging.,positive,18,yes,no,1
369,male,18-25,central,fashion,online,paytm mall,1,customer service was unhelpful.,negative,26,yes,yes,0
371,female,18-25,east,electronics,online,swiggy instamart,2,customer service was unhelpful.,negative,9,yes,yes,0
372,female,36-45,central,fashion,online,croma,5,"amazing experience, highly recommend!",positive,27,yes,no,1
373,female,46-60,south,electronics,online,amazon,2,very disappointed with the quality.,negative,34,yes,yes,0
